武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親,武将姓名,列伝,父親有無,母親有無,志区分
宇喜多,詮家,56,65,34,34,29,121,63,218,宇喜多忠家,うきた,あきいえ,1567年,1582年,1616年,50,-,家名存続,突撃,速攻,全軍突撃,実利,8,-,宇喜多詮家,宇喜多家臣。忠家の子。主家の内乱により出奔、徳川家康に属す。関ヶ原合戦の戦功により石見浜田２万石を領した。大坂の陣では家康の孫娘・千を救出した。,1,0,0
中島,元行,63,62,45,51,46,125,97,267,中島輝行,なかじま,もとゆき,1552年,1567年,1614年,63,-,領地保全,用心,斥候,神出鬼没,家名,4,-,中島元行,毛利家臣。経山城主。明禅寺合戦で戦死した父・輝行の跡を継ぐ。清水宗治の娘を娶り、宗治とともに各地の合戦で活躍した。のちに「中国兵乱記」を著した。,1,0,0
七条,兼仲,35,78,29,23,23,113,46,188,-,しちじょう,かねなか,1548年,1563年,1582年,35,-,家名存続,奮闘,猛攻,全軍突撃,勲功,5,-,七条兼仲,阿波の豪族。七条城主。中富川合戦で敗死した。怪力の豪傑で、武勇伝が多数伝承されている。大山寺で催される「力餅大会」は伝承の１つに由来するという。,0,0,0
法華津,前延,56,65,45,58,50,121,108,274,-,ほけづ,さきのぶ,1521年,1536年,1593年,73,-,領地保全,突撃,速攻,全軍突撃,家名,9,-,法華津前延,西園寺家臣。伊予法華津城主。西園寺十五将の１人。大友家の侵攻軍を何度も撃退した。豊臣秀吉の四国平定後、宇和郡を領した戸田勝隆の命により下城した。,0,0,0
吉良,親実,67,63,44,60,51,130,111,285,吉良親貞,きら,ちかざね,1563年,1578年,1588年,26,-,所領拡大,突撃,速攻,全軍突撃,才覚,7,-,吉良親実,長宗我部家臣。親貞の嫡男。宗家の家督相続に際し、四男・盛親の擁立を望む伯父・元親を諫めるが、対立勢力の久武親直に讒言され、元親に自害させられた。,1,0,0
江村,親家,67,68,45,34,35,135,69,249,吉田重俊,えむら,ちかいえ,1525年,1540年,1591年,67,-,所領拡大,用心,斥候,神出鬼没,勲功,6,-,江村親家,長宗我部家臣。吉田重俊の次男。江村親政の娘婿となる。父と同じく備後守を称したため「小備後」と呼ばれた。多くの合戦に参加し、近隣に勇名を轟かせた。,1,0,0
安芸,国虎,63,67,37,42,36,130,78,245,安芸元泰,あき,くにとら,1530年,1544年,1569年,40,-,領地保全,突撃,速攻,全軍突撃,実利,10,-,安芸国虎,土佐の豪族。安芸城主。長宗我部元親の居城・土佐岡豊城への招請を断り、元親と戦う。しかし元親の謀略により家臣団が内部崩壊を起こして敗北、自害した。,1,0,0
佐々木,小次郎,30,84,28,24,22,114,46,188,-,ささき,こじろう,1590年,1605年,1612年,23,-,所領拡大,奥義一閃,野襲,全軍突撃,芸道,6,-,佐々木小次郎,別名は巌流。武者修行の末、「燕返し」の剣法を創案する。増田長盛に仕えようとしたが豊臣秀吉に許されなかった。巌流島で宮本武蔵と試合をし、敗死する。,0,0,0
大友,親家,56,64,38,37,33,120,70,228,大友義鎮,おおとも,ちかいえ,1561年,1576年,1641年,81,-,家名存続,突撃,速攻,全軍突撃,家名,8,-,大友親家,大友家臣。宗麟の次男。父の命で僧侶となるが、武術に励み、のちに還俗。島津義久に通じたため、所領を没収される。主家改易後は肥後細川家などに仕えた。,1,0,0
田北,鎮周,54,64,44,38,37,118,75,237,-,たきた,しげかね,1543年,1558年,1578年,36,-,家名存続,突撃,速攻,全軍突撃,勲功,8,-,田北鎮周,大友家臣。豊後蚊ノ尾城主。加判衆を務めた。耳川合戦の際、総大将・田原親賢が佐伯惟教の慎重論を支持した事に憤り先鋒として島津軍に突撃し、戦死した。,0,0,0
原田,信種,50,57,45,44,41,107,85,237,原田種吉,はらだ,のぶたね,1560年,1575年,1598年,39,原田隆種,所領拡大,臨戦,万全,囮挑発,才覚,8,-,原田信種,筑前の豪族。高祖城主。草野鎮永の子。原田隆種の子・親種の死後、養子となり家督を継ぐ。のちに豊臣秀吉に降り、所領を安堵された。朝鮮派兵で戦死した。,1,0,0
秋月,文種,55,64,37,45,37,119,82,238,-,あきづき,ふみたね,1516年,1531年,1557年,42,-,領地保全,臥薪嘗胆,伏兵,本陣斬込,勲功,9,-,秋月文種,筑前の豪族。古処山城主。大友家に属すが待遇に不満を持ち、毛利元就と結んで叛旗を翻す。大友軍２万の軍勢に対して善戦するが、衆寡敵せず敗れ自害した。,0,0,0
江上,武種,43,60,44,35,35,103,70,217,-,えがみ,たけたね,1526年,1541年,1575年,50,-,所領拡大,突撃,速攻,全軍突撃,勲功,7,-,江上武種,少弐家臣。肥前勢福寺城主。龍造寺隆信の家督相続に反対した東肥前十九将の１人。龍造寺家臣・小田政光を討つなど活躍したが、のちに龍造寺家臣となった。,0,0,0
百武,賢兼,75,81,39,32,30,156,62,257,-,ひゃくたけ,ともかね,1538年,1553年,1584年,47,-,所領拡大,奮闘,強撃,全軍突撃,才覚,6,-,百武賢兼,龍造寺家臣。龍造寺四天王の１人。今山合戦などで活躍し、武勇百人にまさると主君・隆信から百武姓を賜る。沖田畷合戦の際は隆信の身辺を守り、戦死した。,0,0,0
有馬,晴信,50,57,42,63,51,107,114,263,有馬義貞,ありま,はるのぶ,1567年,1576年,1612年,46,-,家名存続,死兵,万全,囮挑発,家名,10,-,有馬晴信,肥前の豪族。日野江城主。義貞の次男。兄・義純の死後、家督相続。島津家と結び勢力の回復をはかる。のち岡本大八事件を起こし、甲斐で斬罪に処せられた。,1,0,0
赤星,統家,38,63,47,55,49,101,104,252,赤星親家,あかほし,むねいえ,1530年,1545年,1619年,90,-,領地保全,突撃,速攻,全軍突撃,家名,7,-,赤星統家,龍造寺家臣。肥後隈府城主。親家の子。主君・隆信から去就を疑われて人質を殺されたため、島津家に属す。豊臣秀吉の九州征伐後も居城を回復できなかった。,1,0,0
城,親基,57,56,42,41,39,113,80,235,城親冬,じょう,ちかもと,1543年,1558年,1592年,50,-,領地保全,用心,斥候,神出鬼没,家名,5,-,城親基,島津家臣。肥後隈本城主。親冬の次男。龍造寺軍を破るなど活躍したが、豊臣秀吉の九州征伐軍に降り、所領を安堵される。肥後国人一揆には関与しなかった。,1,0,0
岡本,頼氏,60,69,42,39,37,129,76,247,-,おかもと,よりうじ,1537年,1552年,1606年,70,-,家名存続,突撃,速攻,全軍突撃,勲功,7,-,岡本頼氏,相良家臣。初陣以来１９度の合戦で戦功を立てる。薩摩大口合戦では島津家臣・川上久朗を討った。のちに相良家中の軍忠覚書「岡本頼氏戦場日記」を著した。,0,0,0
丸目,長恵,39,80,30,44,30,119,74,223,-,まるめ,ながよし,1540年,1555年,1629年,90,-,所領拡大,奥義一閃,野襲,全軍突撃,芸道,11,-,丸目長恵,相良家臣。上泉信綱に剣術を学び、新陰タイ捨流を開いた。島津軍との戦いで敗因を作り、一時逼塞。のちに復帰して兵法師範を務め、開墾事業にも従事した。,0,0,0
伊東,義祐,64,56,47,64,55,120,119,286,-,いとう,よしすけ,1512年,1527年,1585年,74,-,領地保全,気勢崩し,堅固,囮挑発,勲功,11,-,伊東義祐,日向の戦国大名。伊東家最大の版図を築くが、木崎原合戦で島津軍に敗れ衰退。豊後の大友宗麟を頼るが、大友軍が耳川合戦で大敗したあとは各地を流浪した。,0,0,0
猿渡,信光,51,62,43,35,34,113,69,225,-,さるわたり,のぶみつ,1534年,1549年,1587年,54,-,所領拡大,突撃,速攻,全軍突撃,家名,8,-,猿渡信光,島津家臣。沖田畷合戦に従軍して龍造寺軍を破るなど、主に肥前・肥後方面で戦功を立てた。のちに豊臣秀吉の九州征伐軍と根白坂で戦うが敗北し、戦死した。,0,0,0
島津,義虎,50,64,40,60,47,114,107,261,島津実久,しまづ,よしとら,1536年,1551年,1585年,50,-,所領拡大,突撃,速攻,全軍突撃,家名,5,-,島津義虎,島津家臣。薩摩出水領主。実久の嫡男。相良家攻めの際は先鋒を務め、相良義陽を降伏させる。のち沖田畷合戦にも従軍するなど、肥後・肥前方面で活躍した。,1,0,0
蠣崎,基広,56,58,47,51,47,114,98,259,蠣崎高広,かきざき,もとひろ,1501年,1516年,1548年,48,-,領地保全,足止め,回避,神出鬼没,勲功,14,-,蠣崎基広,蠣崎家臣。高広（光広の次男）の子。光広の子ともいう。父の死後家督を継ぎ、勝山館主となった。のちに謀叛を起こし従兄弟・季広と戦うが敗れ、討たれた。,1,0,0
井田,親之,44,60,46,37,37,104,74,224,-,いだ,ちかゆき,1532年,1547年,1587年,56,-,所領拡大,突撃,速攻,全軍突撃,勲功,9,-,井田親之,秋月家臣。左馬助と称す。大友軍に子・親氏を討たれた際、仏壇の柱に和歌一首を書き付けて、子の霊に手向けた。のちに、とある戦で先陣を務め、戦死した。,0,0,0
遠藤,盛胤,70,70,41,29,29,140,58,239,-,えんどう,もりたね,1555年,1570年,1605年,51,-,家名存続,突撃,速攻,全軍突撃,勲功,8,-,遠藤盛胤,二階堂家臣。但馬と称す。主家滅亡の際に捕らえられ、伊達家に属す。武勇に秀で、関ヶ原合戦では松川菱の旗を背に奮戦し、敵味方双方から賞賛を浴びた。,0,0,0
川島,宗泰,24,64,37,62,46,88,108,233,-,かわしま,むねやす,1567年,1582年,1616年,50,-,所領拡大,突撃,速攻,全軍突撃,実利,9,-,川島宗泰,二階堂家臣。主家滅亡後は伊達家に仕える。葛西・大崎一揆の際は満身創痍となりながらも退かなかったという。のちに仙台城や江戸城外濠の普請を担当した。,0,0,0
小田辺,勝成,45,71,32,26,25,116,51,199,-,こたべ,かつなり,1560年,1575年,1619年,60,-,領地保全,早駆け,猛攻,本陣斬込,勲功,9,-,小田辺勝成,二本松畠山家臣。騎戦に長け、単騎で敵陣を破ること多く、乗込大学の異名をとる。主家滅亡後は浪人生活を経て伊達家に仕え、武頭役として３百石を領した。,0,0,0
黒沢,道家,45,67,40,64,50,112,114,266,-,くろさわ,みちいえ,1567年,1582年,1623年,57,-,家名存続,突撃,速攻,全軍突撃,才覚,5,-,黒沢道家,小野寺家臣。黒沢城主。有屋峠合戦などで活躍した。主家改易後は佐竹家に仕え一揆の鎮圧や新田開発に携わった。大坂の陣では旗頭として従軍し、活躍した。,0,0,0
中山,照守,55,62,33,29,27,117,56,206,中山家範,なかやま,てるもり,1570年,1585年,1634年,65,-,所領拡大,早駆け,猛攻,本陣斬込,勲功,8,-,中山照守,北条家臣。家範の子。主家滅亡後は徳川家康に仕える。関ヶ原合戦や大坂の陣に従軍し、のちに槍奉行となった。馬術の達人で、高麗八条流の奥義をきわめた。,1,0,0
大野,治房,56,63,46,51,46,119,97,262,大野佐渡守,おおの,はるふさ,1572年,1587年,1615年,44,-,家名存続,用心,斥候,神出鬼没,実利,6,-,大野治房,豊臣家臣。治長の弟。大坂の陣の際は、主戦派の中心人物の一人となる。大坂落城後、国松丸（主君・秀頼の子）を擁して脱出するが、捕らわれて斬首された。,1,0,0
上泉,泰綱,59,68,35,29,27,127,56,218,上泉秀胤,かみいずみ,やすつな,1552年,1567年,1600年,49,-,家名存続,突撃,速攻,全軍突撃,芸道,5,-,上泉泰綱,新陰流の創始者・上泉信綱の孫。関ヶ原合戦の直前、上杉景勝の浪人徴募に応じ直江兼続の指揮下に属した。出羽長谷堂城における最上軍との戦いで戦死した。,1,0,0
福島,高晴,68,63,43,41,39,131,80,254,福島正信,ふくしま,たかはる,1573年,1588年,1633年,61,-,領地保全,用心,斥候,神出鬼没,家名,11,-,福島高晴,豊臣家臣。正則の弟。関ヶ原の戦いでは東軍に属して伊勢桑名城を攻め、戦後、大和松山３万石を領す。大坂の陣の際、豊臣方への内通を疑われて改易された。,1,0,0
柳生,宗章,35,70,39,51,42,105,93,237,柳生石舟斎,やぎゅう,むねあき,1566年,1581年,1603年,38,-,所領拡大,奥義一閃,野襲,全軍突撃,芸道,5,-,柳生宗章,宗厳の四男。中村家家老・横田村詮の客将。村詮が讒言により誅殺されると、遺臣とともに中村一忠に反抗。吹雪の中、１８人を斬り倒す奮戦の末、討死した。,1,0,0
東郷,重位,35,80,38,32,29,115,61,214,-,とうごう,しげただ,1561年,1576年,1643年,83,-,家名存続,奥義一閃,野襲,全軍突撃,芸道,7,-,東郷重位,島津家臣。島津義久に従い京に上洛した際に、天寧寺の善吉和尚から剣術を学び薩摩自顕流（示現流）を創始した。のち島津家久の剣術指南役を務めた。,0,0,0
大浦,政信,43,63,45,38,37,106,75,226,-,おおうら,まさのぶ,1497年,1512年,1541年,45,-,家名存続,死兵,復帰,全軍突撃,実利,8,-,大浦政信,南部家臣。大浦城主。わがままで家臣に信望がなかった。和徳城攻めで戦死したが、味方はその事実を知らずに退却、帰城後に初めて主君不在を知ったという。,0,0,0
川原,具信,60,61,43,68,56,121,124,288,浪岡具永,かわはら,とものぶ,1503年,1518年,1562年,60,-,所領拡大,用心,斥候,神出鬼没,実利,12,-,川原具信,浪岡北畠家臣。具永の子。断絶していた川原御所を継ぐ。「津軽郡中名字」を編纂した。のちに甥・具運と対立して具運を討つが、具運の弟・顕範に討たれた。,1,0,0
和賀,義勝,57,58,47,61,53,115,114,276,-,わが,よしかつ,1507年,1522年,1575年,69,-,家名存続,急襲,復帰,囮挑発,家名,7,-,和賀義勝,陸奥の豪族。和賀家は源頼朝の庶子・忠頼を祖とするという。外からは南部家の圧迫を受け、国内では一族をはじめとした諸氏の統制に苦しんだという。,0,0,0
草野,直清,54,61,36,42,35,115,77,228,-,くさの,なおきよ,1514年,1529年,1563年,50,-,領地保全,突撃,速攻,全軍突撃,家名,7,-,草野直清,相馬家臣。顕胤に仕え、中村城代を務めていた。中村城は８０１年に坂上田村麻呂が菅原実敬に命じて築かせたという。その後は中村家が代々居城としていた。,0,0,0
林崎,甚助,55,71,39,24,25,126,49,214,-,はやしざき,じんすけ,1542年,1557年,1621年,80,-,領地保全,奥義一閃,野襲,全軍突撃,才覚,6,-,林崎甚助,居合の始祖。父を殺され、仇討ちをするため、剣術を学ぶ。あるとき、林崎明神から居合の極意を授かり、仇討ちを果たす。諸国を廻り、数多の弟子を育てた。,0,0,0
愛洲,宗通,56,71,28,25,23,127,48,203,愛洲移香斎,あいす,むねみち,1519年,1534年,1590年,72,-,家名存続,奥義一閃,野襲,全軍突撃,芸道,9,-,愛洲宗通,剣術家。元香斎と号す。影流を創始した移香斎の子。猿飛陰流を開眼し、燕飛の太刀を編み出す。佐竹義重や剣聖・上泉信綱を弟子に持った。,1,0,0
山路,正国,44,64,37,50,40,108,90,235,-,やまじ,まさくに,1546年,1561年,1583年,38,-,領地保全,突撃,速攻,全軍突撃,実利,11,-,山路正国,柴田家臣。正幽の次男。賤ヶ岳合戦では主君・勝豊とともに羽柴秀吉に属すが、のちに寝返る。佐久間盛政に中入れ作戦を進言し、自らも従軍するが戦死した。,0,0,0
楽巌寺,雅方,69,71,40,45,39,140,84,264,-,らくがんじ,まさかた,1509年,1524年,1558年,50,-,家名存続,突撃,速攻,全軍突撃,勲功,9,-,楽巌寺雅方,村上家臣。楽巌寺城主。もとは楽巌寺の僧であったという。１５４８年頃、武田信玄に居城を奪われ、砥石城に逃れる。主家の滅亡後は武田信玄に臣従した。,0,0,0
小笠原,長時,69,73,31,45,32,142,77,250,小笠原長棟,おがさわら,ながとき,1514年,1534年,1583年,70,-,所領拡大,突撃,速攻,全軍突撃,家名,9,-,小笠原長時,信濃守護。長棟の長男。武田信玄に信濃を追われ、越後・摂津・会津など諸国を流浪する。子・貞慶が家康の下で旧領に復帰するが、戻ることなく死亡した。,1,0,0
小笠原,貞種,50,62,40,39,36,112,75,227,小笠原長棟,おがさわら,さだたね,1523年,1538年,1587年,65,-,家督継承,急襲,復帰,囮挑発,家名,9,-,小笠原貞種,小笠原家臣。長時の弟。諸国を流浪したあと、上杉景勝の後援で深志城を奪還。しかし、甥・貞慶が徳川家康の助力を得て信濃に入国すると、城を明け渡した。,1,0,0
富樫,晴貞,52,58,47,57,51,110,108,265,-,とがし,はるさだ,1516年,1531年,1570年,55,-,家名存続,突撃,速攻,全軍突撃,家名,6,-,富樫晴貞,野々市城主。稙泰の子。父が享徳の錯乱により能登に逃れたあと、家督を継ぐ。織田信長の越前侵攻軍に通じたため、一揆勢に居城を攻撃され敗北、自害した。,0,0,0
湯浅,隆貞,37,74,43,64,52,111,116,270,-,ゆあさ,たかさだ,1560年,1575年,1600年,41,-,家名存続,突撃,速攻,全軍突撃,家名,4,-,湯浅隆貞,大谷家臣。関ヶ原合戦で吉継の自害を介錯する。吉継の首級を埋めたが敵の藤堂高刑に見つかり、主の首の場所の秘匿を高刑に願って、自らの首を差し出した。,0,0,0
柳生,家厳,66,74,41,56,46,140,102,283,-,やぎゅう,いえよし,1497年,1512年,1585年,89,-,家名存続,急襲,猛攻,全軍突撃,芸道,7,-,柳生家厳,大和の豪族。剣豪・宗厳の父。筒井順昭に攻められて、筒井家に属した。三好家の松永久秀が大和国に進出すると、三好方に寝返って筒井家と戦った。,0,0,0
越智,家増,53,70,38,35,31,123,66,227,-,おち,いえます,1519年,1534年,1577年,59,-,領地保全,突撃,速攻,全軍突撃,勲功,7,-,越智家増,大和の国人。家増は大和の国衆で、家栄の三男。家広の弟という。はじめ楢原姓を名乗った。市尾深介に命じて甥・家高を謀殺し、越智家の惣領となった。,0,0,0
有馬,重則,50,71,34,34,28,121,62,217,-,ありま,しげのり,1513年,1528年,1567年,55,-,領地保全,突撃,速攻,全軍突撃,才覚,8,-,有馬重則,播磨の豪族。はじめ摂津有馬郡に住んだが、のちに播磨に移った。有馬家は、有馬郡の地頭職に任ぜられた赤松義祐を始祖とする、赤松家の庶流である。,0,0,0
浦上,政宗,51,60,46,45,42,111,87,244,浦上村宗,うらがみ,まさむね,1525年,1531年,1564年,40,-,所領拡大,臨戦,万全,囮挑発,家名,7,-,浦上政宗,赤松家臣。室津城主。子・清宗に黒田職隆の娘を娶らせ、職隆の主君・小寺政職との連携強化を企むが、婚礼当日に赤松政秀に襲われ、清宗とともに戦死した。,1,0,0
杉,重矩,52,57,47,61,53,109,114,270,-,すぎ,しげのり,1498年,1513年,1551年,54,-,家名存続,突撃,速攻,全軍突撃,家名,9,-,杉重矩,大内家臣。豊前守護代を務めた。はじめ陶晴賢と対立するが、晴賢の謀叛に同調し、主君・義隆を自害させた。のち再び晴賢と対立して敗れ、長門で自害した。,0,0,0
和田,通興,48,57,45,53,47,105,100,250,-,わだ,みちおき,1505年,1520年,1554年,50,-,領地保全,突撃,速攻,全軍突撃,家名,12,-,和田通興,河野家臣。岩伽羅城主。次第に勢力を拡大して主家に従わなくなったため、平岡房実率いる追討軍に攻められる。居城を落とされて山之内に敗走し、自害した。,0,0,0
宇都宮,豊綱,60,63,43,48,43,123,91,257,宇都宮清綱,うつのみや,とよつな,1519年,1534年,1585年,67,-,家名存続,突撃,速攻,全軍突撃,家名,11,-,宇都宮豊綱,伊予の豪族。地蔵嶽城主。土佐一条家と結んだ。飛鳥城の戦いで西園寺公高を討つなど勢威を振るうが、鳥坂峠合戦で河野・毛利連合軍に敗れ、以後衰退した。,1,0,0
宇都宮,房綱,55,57,35,56,42,112,98,245,宇都宮清綱,うつのみや,ふさつな,1506年,1521年,1573年,68,-,家名存続,突撃,速攻,全軍突撃,勲功,8,-,宇都宮房綱,西園寺家臣。萩森城主。伊予宇都宮家の一族という。近隣の元城主・摂津親宣と領地問題で何度も争った。西園寺十五将の１人に数えられ、萩森殿と呼ばれた。,1,0,0
菊池,義武,34,56,37,45,37,90,82,209,大友義長,きくち,よしたけ,1505年,1520年,1554年,50,-,所領拡大,突撃,速攻,全軍突撃,実利,8,-,菊池義武,大友義長の次男。肥後の名家・菊池家を継ぐ。大内家と結んで兄・義鑑と戦うが敗れた。のちに、大友家の家督を継いだ甥・宗麟の謀略によって討たれた。,1,0,0
蒲生,範清,54,67,41,35,33,121,68,230,-,かもう,のりきよ,1524年,1539年,1574年,51,-,家名存続,死兵,斥候,全軍突撃,家名,7,-,蒲生範清,大隅の豪族。島津家と争い、岩剣城に義久・義弘・歳久３兄弟が攻め寄せると、日本初となる鉄砲同士による合戦を行った。のちに島津家に降伏した。,0,0,0
禰寝,清年,61,64,44,52,46,125,98,267,-,ねじめ,きよとし,1510年,1525年,1559年,50,-,所領拡大,急襲,猛攻,全軍突撃,勲功,8,-,禰寝清年,禰寝家１５代当主。根占領主。肝付兼続らとともに島津勝久と島津忠良の間を仲裁するが、失敗。のちに兼続から大隅高隈城を譲られるが、やがて奪回された。,0,0,0
田村,友顕,48,58,30,31,26,106,57,193,田村隆顕,たむら,ともあき,1528年,1543年,1584年,57,-,家名存続,突撃,速攻,全軍突撃,勲功,7,-,田村友顕,田村家臣。隆顕の子。１５８４年８月、兄・清顕に従って出陣し、大内定綱と戦うが敗れ、戦死した。子・宗顕はのちに田村家の家督を継いだ。,1,0,0
小国,義操,68,62,41,25,26,130,51,222,-,おぐに,よしもち,1547年,1562年,1606年,60,-,所領拡大,奮闘,強撃,全軍突撃,家名,2,-,小国義操,二本松畠山家臣。伊達政宗が二本松城を攻めた際、政宗の本陣に何度か襲撃をかけるが、失敗したという。主家滅亡後は政宗の度重なる招きを断り、帰農した。,0,0,0
花輪,親行,61,66,43,44,41,127,85,255,-,はなわ,ちかゆき,1521年,1536年,1591年,71,-,領地保全,早駆け,猛攻,本陣斬込,実利,4,-,花輪親行,出羽の土豪。安東氏に誼を通じ、南部氏の支城である長牛（なごし）城を攻撃した。余りの戦闘の激しさに、城下の小川が真っ赤に染まって流れたという。,0,0,0
小野寺,義道,60,60,27,30,24,120,54,201,小野寺輝道,おのでら,よしみち,1566年,1581年,1645年,80,-,所領拡大,突撃,速攻,全軍突撃,家名,9,-,小野寺義道,小野寺家１４代当主。輝道の次男。豊臣秀吉の小田原征伐に参陣して、所領を安堵される。関ヶ原合戦では徳川家の出陣要請を無視したため、戦後改易された。,1,0,0
岡本,頼元,53,60,42,32,32,113,64,219,-,おかもと,よりもと,1556年,1570年,1624年,69,-,領地保全,最大戦速,水戦,川舟移動,勲功,7,-,岡本頼元,里見家臣。義頼の重臣として仕え、安房岡本城を拠点に里見水軍の一翼を担う。義頼の死後、岡本城火災の責任を負わされて追放されたが、のちに復帰した。,0,0,0
那須,高資,63,74,43,26,27,137,53,233,那須政資,なす,たかすけ,1520年,1535年,1551年,32,-,家名存続,急襲,猛攻,全軍突撃,家名,7,-,那須高資,下野の戦国大名。政資の嫡男。父と対立し、父と結ぶ宇都宮尚綱に攻められるが尚綱を討って撃退した。のち尚綱の子・広綱と芳賀高定の謀略に遭い横死した。,1,0,0
今川,良真,53,66,44,42,40,119,82,245,今川氏親,いまがわ,よしざね,1517年,1532年,1536年,20,-,家督継承,死兵,復帰,全軍突撃,勲功,15,-,今川良真,今川氏親の子。法名・玄広恵探。８代当主・氏輝死後の家督争いで起こった花倉の乱で、梅岳承芳（今川義元）と戦ったが、敗れて自害した。,1,0,0
鈴木,重好,46,61,42,57,47,107,104,253,鈴木重時,すずき,しげよし,1548年,1563年,1635年,88,-,所領拡大,突撃,速攻,全軍突撃,家名,4,-,鈴木重好,徳川家臣。武田の遠州侵攻により居城を失う。のち井伊直政付きとなり、小牧・長久手の戦いなどで活躍した。晩年は秀忠の命で水戸に移り、家老を務めた。,1,0,0
奥平,貞治,46,66,41,66,52,112,118,271,奥平貞勝,おくだいら,さだはる,1540年,1555年,1600年,61,-,家名存続,突撃,速攻,全軍突撃,家名,3,-,奥平貞治,貞能の弟。徳川家臣として長篠合戦などに参戦。関ヶ原の戦いでは小早川秀秋の監視役となり、秀秋と共に西軍の大谷吉継隊と交戦、致命傷を負って陣没した。,1,0,0
