武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親,武将姓名,列伝,父親有無,母親有無,志区分
生駒,利豊,46,58,41,35,34,104,69,214,-,いこま,としとよ,1575年,1590年,1670年,96,-,領地保全,突撃,速攻,全軍突撃,家名,8,-,生駒利豊,豊臣家臣。家長の子。幼少より秀次に近侍するが、秀次死後は秀吉に仕えた。関ヶ原では東軍に属し、福島正則配下として戦う。のちに松平忠吉の家臣となる。,0,0,0
桑山,一晴,57,56,40,39,36,113,75,228,桑山一重,くわやま,かずはる,1575年,1590年,1604年,30,-,領地保全,突撃,速攻,全軍突撃,家名,6,-,桑山一晴,豊臣家臣。祖父・重晴より家督を継ぐ。関ヶ原合戦が起こると、西軍についた熊野水軍・堀内氏善を攻めて城を奪い、東軍に加勢。大和に新領を加増された。,1,0,0
石川,貞清,67,56,44,56,48,123,104,271,-,いしかわ,さだきよ,1561年,1576年,1626年,66,-,家名存続,挟撃巧者,疾走,神出鬼没,家名,5,-,石川貞清,豊臣家臣。尾張犬山城主を務める。関ヶ原合戦では西軍に属して勇戦。戦後、改易されるが死は免れる。その後は剃髪して宗林と号し、京都で金融業を営んだ。,0,0,0
真田,信勝,58,65,44,38,37,123,75,242,真田昌幸,さなだ,のぶかつ,1571年,1586年,1609年,39,-,家名存続,突撃,速攻,全軍突撃,勲功,12,-,真田信勝,昌幸の四男。通称・左馬助。徳川家臣の牧野康成の娘を娶る。徳川幕府の旗本。徳川秀忠に従って京に滞在中、戸田勝興と刃傷沙汰に及び、逃亡した。,1,0,0
鎌原,幸定,58,59,47,45,43,117,88,252,真田頼昌,かんばら,ゆきさだ,1523年,1538年,1561年,39,-,家名存続,挟撃巧者,疾走,神出鬼没,家名,7,-,鎌原幸定,真田幸隆の弟。昌幸の叔父。海野家の支族である鎌原家に養子に入る。早くより武田家に臣従し、幸隆と共に先方衆の一手を担って信玄の信濃進出に貢献した。,1,0,0
椎名,長常,66,72,44,41,40,138,81,263,-,しいな,ながつね,1480年,1495年,1543年,64,-,所領拡大,奮闘,強撃,全軍突撃,家名,5,-,椎名長常,越中の豪族。兄・慶胤が長尾為景との戦いで敗死したため、家督を継ぐ。のちに為景に降り、新川郡守護代となった為景の又守護代となり、新川郡を支配した。,0,0,0
富田,長繁,40,62,29,24,24,102,48,179,-,とみた,ながしげ,1551年,1566年,1574年,24,-,所領拡大,突撃,速攻,全軍突撃,才覚,10,-,富田長繁,朝倉家臣。主家滅亡後は織田家に仕え、長島一向一揆の討伐戦で功を立てた。のちに織田家での待遇に不満を持って謀叛を起こすが、味方に撃たれて死去した。,0,0,0
高田,吉次,56,69,28,23,22,125,45,198,-,たかだ,よしつぐ,1589年,1604年,1671年,83,-,所領拡大,奥義一閃,野襲,全軍突撃,芸道,10,-,高田吉次,高田流槍術の祖。宝蔵院胤栄に槍術を学んだ。大坂の陣で豊臣方に加わったため浪人となり、江戸で道場を開いた。のちに豊前小倉藩主・小笠原忠政に仕えた。,0,0,0
細川,興元,55,62,45,49,44,117,93,255,細川藤孝,ほそかわ,おきもと,1566年,1581年,1619年,54,-,家名存続,奮闘,強撃,全軍突撃,勲功,10,-,細川興元,藤孝の次男。信長に従って松永久秀と戦ったほか、小田原征伐や関ヶ原でも戦功があった。のち兄・忠興と対立し京に隠棲するが、徳川秀忠より呼び戻された。,1,0,0
菅,達長,57,69,46,29,32,126,61,233,-,かん,みちなが,1555年,1570年,1614年,60,-,家名存続,最大戦速,水戦,川舟移動,才覚,10,-,菅達長,豊臣家臣。もとは淡路の土豪で、毛利・長宗我部らに従い織田・豊臣と戦った。四国征伐後は豊臣に属し、水軍衆として九州征伐や小田原征伐で活躍した。,0,0,0
尼子,久幸,79,67,45,50,44,146,94,285,-,あまご,ひさゆき,1473年,1488年,1541年,69,-,領地保全,奮闘,強撃,全軍突撃,勲功,1,-,尼子久幸,尼子家臣。主君・晴久（兄・経久の孫）の安芸侵攻策に反対し「臆病野州」と非難される。結局尼子軍は大敗、退却軍の殿軍を受け持ち、奮戦したが戦死した。,0,0,0
渡辺,通,76,76,43,30,31,152,61,256,-,わたなべ,とおる,1511年,1526年,1543年,33,-,家名存続,奮闘,強撃,全軍突撃,才覚,2,-,渡辺通,毛利家臣。相合元綱の擁立を企んで殺された勝の子。大内義隆が出雲遠征で大敗した際、殿軍を受け持つ主君・元就を救い、郎党とともに壮絶な戦死を遂げた。,0,0,0
吉川,興経,55,77,43,22,25,132,47,222,-,きっかわ,おきつね,1508年,1522年,1550年,43,-,所領拡大,死兵,復帰,全軍突撃,勲功,15,-,吉川興経,安芸の豪族。尼子家と大内家の間で裏切りを繰り返し、家中の分裂を招く。毛利元就から次男・元春を養嗣子として送り込まれ、その直後に殺された。,0,0,0
祖母井,之照,64,67,45,35,35,131,70,246,-,うばがい,ゆきてる,1536年,1551年,1585年,50,-,所領拡大,死兵,復帰,全軍突撃,家名,8,-,祖母井之照,伊予宇都宮家臣。祖母井城主。大野直守の夜襲により居城が落城し、愛馬の首をはねて自害した。以後、命日になると之照の霊を乗せた首なし馬が走るという。,0,0,0
長宗我部,親吉,67,64,46,55,48,131,103,280,長宗我部兼序,ちょうそかべ,ちかよし,1506年,1521年,1585年,80,-,所領拡大,挟撃巧者,地利,神出鬼没,勲功,4,-,長宗我部親吉,兼序の子。父の死後、兄の国親に従い長宗我部家の再興に尽力。さらに甥の元親を支えて四国統一に貢献した。秀吉による四国征伐の際は阿波を守ったが敗退。,1,0,0
江村,親俊,68,63,41,35,34,131,69,241,江村親家,えむら,ちかとし,1547年,1562年,1596年,50,-,領地保全,急襲,猛攻,全軍突撃,家名,4,-,江村親俊,長宗我部家臣。親家の子。津野親忠が豊臣秀吉の人質となった際は、親忠に従って伏見へ赴いた。朝鮮派兵では渡海し、晋州城攻撃戦に参加して戦功を立てた。,1,0,0
井田,親氏,58,65,32,29,26,123,55,210,井田親之,いだ,ちかうじ,1562年,1577年,1581年,20,-,所領拡大,急襲,猛攻,全軍突撃,勲功,7,-,井田親氏,秋月家臣。親之の子。早くから武勇の誉れが高かったという。大友家との合戦で総大将に任じられ勇躍出陣するが、敵を深追いして伏兵に襲撃され、戦死した。,1,0,0
江上,家種,76,73,28,26,23,149,49,226,龍造寺隆信,えがみ,いえたね,1558年,1573年,1593年,36,江上武種,家名存続,奮闘,強撃,全軍突撃,勲功,5,-,江上家種,龍造寺家臣。龍造寺隆信の次男。江上家の家督を継ぐ。「当世無双の大力」と評された勇将で、各地の合戦で活躍した。朝鮮派兵に従軍するが釜山で死去した。,1,0,0
高木,鑑房,64,67,36,25,25,131,50,217,-,たかぎ,あきふさ,1504年,1519年,1554年,51,-,所領拡大,死兵,復帰,全軍突撃,勲功,9,-,高木鑑房,龍造寺家臣。龍造寺隆信の家督相続に反対した、東肥前十九将の１人。隆信の肥前復帰の際に討たれた。斬られた際、頭が無い状態で従者の首を斬ったという。,0,0,0
龍造寺,家純,67,63,43,55,47,130,102,275,龍造寺家兼,りゅうぞうじ,いえずみ,1479年,1494年,1545年,67,-,所領拡大,突撃,速攻,全軍突撃,家名,5,-,龍造寺家純,少弐家臣。家兼の子。父が馬場頼周の策謀によって筑後に退去した際、弟・家門や三男・純家とともに筑前に赴くが、途中で神代勝利軍に攻められ、敗死した。,1,0,0
龍造寺,周家,63,58,44,51,45,121,96,261,龍造寺家純,りゅうぞうじ,ちかいえ,1504年,1519年,1545年,42,-,家督継承,突撃,速攻,全軍突撃,家名,4,-,龍造寺周家,少弐家臣。家純の子。祖父・家兼が馬場頼周に騙されて筑後に退去した際、弟・頼純らと謝罪使として少弐冬尚を訪ねるが、途中で馬場軍に攻められ敗死した。,1,0,0
朝長,前安,66,66,38,59,46,132,105,275,-,ともなが,さきやす,1578年,1593年,1635年,58,-,家名存続,急襲,復帰,囮挑発,家名,5,-,朝長前安,大村家臣。純盛（純利の甥）の子。朝鮮派兵では平壌から撤退する日本軍の殿軍を務める主君・喜前に従い、抜群の戦功を立てた。のち江戸で外交を担当した。,0,0,0
稲津,重政,62,71,30,26,24,133,50,213,-,いなづ,しげまさ,1574年,1589年,1602年,29,-,所領拡大,死兵,復帰,全軍突撃,勲功,14,-,稲津重政,伊東家臣。清武城主。関ヶ原合戦では西軍方の宮崎城を落とす。戦後、幕命による宮崎城返還を拒否。主君・祐慶の自害命令も拒否して居城に籠城、敗死した。,0,0,0
荒武,宗幸,63,69,44,41,40,132,81,257,-,あらたけ,むねゆき,1486年,1501年,1549年,64,-,領地保全,死兵,復帰,全軍突撃,家名,8,-,荒武宗幸,伊東家近習。１５４９年、伊東・島津両軍が対峙する中で、節句が祝われた。このとき島津方の中馬武蔵との相撲に勝ちを収め、武蔵の首を得たという。,0,0,0
入来院,重時,50,61,40,34,32,111,66,217,島津以久,いりきいん,しげとき,1570年,1585年,1600年,31,-,家名存続,突撃,速攻,全軍突撃,家名,3,-,入来院重時,島津家臣。実父は島津以久。重豊の養子となり義弘に属して活躍する。関ヶ原合戦後、撤退する義弘とはぐれてしまい、東軍に捕縛され討ち取られた。,1,0,0
島津,忠広,58,65,47,39,39,123,78,248,-,しまづ,ただひろ,1482年,1497年,1551年,70,-,所領拡大,急襲,復帰,囮挑発,勲功,8,-,島津忠広,島津家臣。忠朝の子。右馬頭と称す。飫肥城主。領地を接する伊東義祐の侵攻をたびたび受けるが、その都度撃退し、日向における島津家の所領を守り抜いた。,0,0,0
奥平,忠昌,52,65,44,48,43,117,91,252,奥平家昌,おくだいら,ただまさ,1608年,1614年,1668年,61,-,領地保全,急襲,復帰,囮挑発,家名,5,-,奥平忠昌,家昌の嫡男。父の急死後、７歳で家督を相続し、下野宇都宮藩２代藩主となる。のち下総古河に加増転封されるが、宇都宮釣天井事件後、宇都宮に再封された。,1,0,0
日根野,吉明,47,62,40,44,39,109,83,232,日根野高吉,ひねの,よしあき,1587年,1602年,1656年,70,-,所領拡大,奮闘,強撃,全軍突撃,家名,6,-,日根野吉明,徳川家臣。弘就の孫。関ヶ原合戦では真田昌幸に備えた。大坂の陣、日光東照宮造営の功で豊後府内２万石に加増され、初瀬井路開削など灌漑事業に従事した。,1,0,0
本多,忠純,29,68,29,34,26,97,60,186,本多正信,ほんだ,ただずみ,1586年,1601年,1632年,47,-,所領拡大,突撃,速攻,全軍突撃,実利,8,-,本多忠純,徳川家臣。正信の三男。大坂の陣で活躍するも、毛利勝永と戦い敗走している。粗暴で家臣を虐待し、ささいなことで殺したため、ついには家臣に暗殺された。,1,0,0
鳥居,成次,63,60,42,50,43,123,93,258,鳥居元忠,とりい,なりつぐ,1570年,1585年,1631年,62,-,家名存続,急襲,復帰,囮挑発,家名,2,-,鳥居成次,徳川家臣。元忠の三男。伏見城で父を西軍に攻め殺されていたが、関ヶ原合戦後父の仇である石田三成を預けられた時に丁重に遇し、三成を感じ入らせた。,1,0,0
諏訪,忠恒,52,60,38,49,41,112,90,240,諏訪頼水,すわ,ただつね,1595年,1607年,1657年,63,-,家名存続,臨戦,万全,囮挑発,家名,4,-,諏訪忠恒,徳川家臣。頼水の長男。大坂夏の陣に出馬し、榊原康勝に属して若江の戦い、天王寺の戦いで活躍。父の隠居により信濃諏訪藩を継ぎ、新田開発に努めた。,1,0,0
松平,定行,51,64,43,67,54,115,121,279,松平定勝,まつだいら,さだゆき,1587年,1602年,1668年,82,-,領地保全,急襲,復帰,囮挑発,勲功,4,-,松平定行,徳川家臣。徳川家康の異父弟・定勝の次男。伊予松山藩主として一門初の四国入りをし外様大名の抑えとなった。長崎で南蛮菓子に感動し、タルトを伝えた。,1,0,0
水野,分長,61,71,43,35,35,132,70,245,水野忠分,みずの,わけなが,1562年,1577年,1623年,62,-,家名存続,突撃,速攻,全軍突撃,勲功,6,-,水野分長,徳川家臣。忠政の孫。重央の兄。小牧長久手合戦や小田原征伐に出陣。徳川家康の命で蒲生氏郷に属し九戸政実の乱鎮圧に活躍した。のち帰参し大番頭となる。,1,0,0
土方,雄氏,38,64,36,40,34,102,74,212,土方雄久,ひじかた,かつうじ,1583年,1594年,1638年,56,-,所領拡大,突撃,速攻,全軍突撃,勲功,7,-,土方雄氏,徳川家臣。はじめ豊臣家に仕えた。関ヶ原合戦前夜、父・雄久に徳川家康暗殺を計画した容疑がかかり連座。のち許され徳川家に仕え、菰野藩を立藩した。,1,0,0
稲葉,紀通,37,68,28,27,24,105,51,184,稲葉道通,いなば,のりみち,1603年,1607年,1648年,46,-,所領拡大,臥薪嘗胆,奪力,本陣斬込,芸道,10,-,稲葉紀通,徳川家臣。道通の子。大坂の陣で初陣。残虐無道で狩りで獲物が獲れなかった腹いせに領民を大量虐殺するなどしたという。のち謀反の疑いがかかり自害した。,1,0,0
谷,衛友,62,75,45,32,34,137,66,248,-,たに,もりとも,1563年,1578年,1628年,66,-,所領拡大,奮闘,猛攻,全軍突撃,勲功,8,-,谷衛友,豊臣家臣。小田原征伐など主な戦いに従軍した。関ヶ原合戦では、西軍に属して小野木公郷とともに行動するが、東軍に寝返り、本領を安堵された。,0,0,0
桑山,一直,39,63,45,49,44,102,93,240,桑山一重,くわやま,かずなお,1578年,1593年,1636年,59,-,家名存続,突撃,速攻,全軍突撃,勲功,7,-,桑山一直,徳川家臣。一晴の弟。関ヶ原合戦では本多忠勝に属して大谷吉継と戦い、大坂夏の陣でも活躍し加増を約束されたが、旗本の喧嘩に巻き込まれ、閉門となった。,1,0,0
毛利,秀就,51,68,35,35,29,119,64,218,毛利輝元,もうり,ひでなり,1591年,1599年,1651年,61,-,天下統一,突撃,速攻,全軍突撃,勲功,10,-,毛利秀就,輝元の長男。関ヶ原合戦後に家督相続。初代萩藩主となる。結城秀康の娘を娶り大坂の陣には関東方として出陣した。遊興飲酒を好み、義兄・秀元と対立した。,1,0,0
堀尾,忠晴,58,71,43,34,34,129,68,240,堀尾忠氏,ほりお,ただはる,1599年,1604年,1633年,35,-,領地保全,早駆け,猛攻,本陣斬込,勲功,8,-,堀尾忠晴,忠氏の長男。父が早世し幼くして家督を継ぎ祖父・吉晴の後見を受けた。大坂冬の陣で活躍したが軍法違反に問われた時見事に切り返して周囲を感心させた。,1,0,0
加藤,明成,51,73,34,32,28,124,60,218,加藤嘉明,かとう,あきなり,1592年,1607年,1661年,70,-,所領拡大,突撃,速攻,全軍突撃,実利,10,-,加藤明成,嘉明の嫡男。父の死後、陸奥会津４０万石を相続。若松城天守閣を改修した。一歩金を好み一歩殿と呼ばれた。家老と対立し会津騒動を起こし、改易された。,1,0,0
青木,一重,54,62,44,49,43,116,92,252,-,あおき,かずしげ,1551年,1566年,1628年,78,-,家名存続,奮闘,強撃,全軍突撃,家名,4,-,青木一重,はじめ今川家、次いで徳川家に仕え、姉川の戦いで活躍。後に出奔。丹羽長秀、豊臣秀吉・秀頼に仕え、七手組組頭となる。大坂の陣の後、徳川家に帰参した。,0,0,0
堀,利重,49,72,46,36,37,121,73,240,堀秀重,ほり,とししげ,1581年,1596年,1638年,58,-,領地保全,奮闘,強撃,全軍突撃,勲功,8,-,堀利重,秀政の弟。徳川秀忠に仕えた。関ヶ原合戦では上田城攻めに奮戦。のち大久保忠隣失脚に連座して改易されるが、大坂の陣で活躍。罪を許され、大名となった。,1,0,0
戸沢,政房,43,74,43,34,34,117,68,228,-,とざわ,まさふさ,1560年,1575年,1633年,74,-,所領拡大,急襲,猛攻,全軍突撃,家名,7,-,戸沢政房,戸沢家臣。南部家出身という。九戸の乱で主君・光盛に従って出陣し奮戦。豊臣秀次の目にとまり、大坂に召し出されるが、秀次事件により帰国した。,0,0,0
小浜,景隆,58,65,47,39,39,123,78,248,-,おはま,かげたか,1540年,1555年,1597年,58,-,家名存続,最大戦速,水戦,川舟移動,実利,8,-,小浜景隆,志摩海賊衆。伊勢北畠家に属す。九鬼嘉隆に敗れ志摩を追われ、武田信玄に招かれて武田家の船大将となる。武田家滅亡後は徳川家に仕え、船手大将を務めた。,0,0,0
南部,無右衛門,38,71,30,23,23,109,46,185,-,なんぶ,ぶえもん,1568年,1583年,1638年,71,-,所領拡大,突撃,速攻,全軍突撃,勲功,6,-,南部無右衛門,丹羽家臣。加藤清正などに仕えた傍若無人な武辺者。浅井畷の戦いで突出し危機に陥った江口正吉を永原松雲が見捨てる中、単身救出し、形勢を逆転させた。,0,0,0
安田,作兵衛,41,68,34,25,25,109,50,193,-,やすだ,さくべえ,1556年,1571年,1597年,42,-,家名存続,奮闘,猛攻,全軍突撃,勲功,8,-,安田作兵衛,明智家臣。名は国継。明智三羽烏の一。本能寺の変で森蘭丸を討ち、織田信長に一番槍をつける活躍をした。のち変名して蒲生氏郷、寺沢広高らに仕えた。,0,0,0
村田,吉次,45,76,40,43,38,121,81,242,-,むらた,よしつぐ,1565年,1580年,1621年,57,-,所領拡大,奮闘,猛攻,全軍突撃,勲功,6,-,村田吉次,黒田家臣。黒田二十四騎の一。宝蔵院流槍術の免許皆伝で武勇に優れ、朱槍を許された。一方で気性が激しく、気に食わないからと領民を虐殺したりしている。,0,0,0
吉弘,政宣,44,62,46,35,36,106,71,223,吉弘統幸,よしひろ,まさのぶ,1580年,1595年,1662年,83,-,所領拡大,突撃,速攻,全軍突撃,勲功,5,-,吉弘政宣,立花家臣。吉弘氏嫡流。統幸の子。先祖が千人斬りをし妖蜘蛛から父を守った生き剣「蜘蛛切」を主家に献上したが、怪異が次々と起きたので返却された。,1,0,0
松倉,勝家,33,62,30,23,23,95,46,171,松倉重政,まつくら,かついえ,1597年,1612年,1638年,42,-,家名存続,死兵,復帰,全軍突撃,実利,10,-,松倉勝家,重政の子。父同様キリシタンを厳しく弾圧し、また圧政を敷いて島原の乱を引き起こした。乱鎮圧後改易。切腹すら許されず、大名としては異例の斬首となる。,1,0,0
赤星,親武,45,64,45,40,40,109,80,234,赤星統家,あかぼし,ちかたけ,1571年,1586年,1615年,45,-,所領拡大,奮闘,強撃,全軍突撃,勲功,6,-,赤星親武,加藤清正家臣。統家の子。娘は加藤清正の側室。加藤十六将の一。のち清正を介して豊臣秀頼に仕え、大坂の陣で奮戦。天王寺口の戦いで討死を遂げた。,1,0,0
赤星,道重,53,61,47,28,31,114,59,220,赤星親武,あかぼし,みちしげ,1602年,1617年,1638年,37,-,領地保全,挟撃巧者,地利,神出鬼没,勲功,8,-,赤星道重,島原の乱指導者・天草十七人衆の一人。親武の子。大坂の陣で父とともに大坂城に籠城し脱出。島原の乱では原城本丸付近を守り、一騎打ちの末討死した。,1,0,0
木村,又蔵,34,75,41,29,29,109,58,208,-,きむら,またぞう,1560年,1575年,1615年,56,-,所領拡大,突撃,速攻,全軍突撃,勲功,8,-,木村又蔵,加藤清正家臣。加藤十六将の一。はじめ六角義賢に属し臆病又蔵の異名を取ったが八幡神の加護で無敵の勇士となる。清正の命で、大坂の陣で豊臣に味方した。,0,0,0
湯地,定時,42,58,31,29,26,100,55,186,-,ゆぢ,さだとき,1533年,1548年,1578年,46,-,所領拡大,臨戦,万全,囮挑発,家名,5,-,湯地定時,伊東家臣。主家の日向退去後も、日向三納城に籠城して島津家と戦う。しかし耳川合戦で大友軍大敗。勢いに乗る島津勢に居城を囲まれ、自害して果てた。,0,0,0
中馬,重方,39,76,47,36,37,115,73,235,-,ちゅうまん,しげかた,1566年,1580年,1636年,71,-,領地保全,死兵,復帰,全軍突撃,勲功,4,-,中馬重方,島津家臣。三州一の大力。島津義弘お気に入りの家臣で多くの逸話を残す。関ヶ原合戦に参陣。島津の退き口で奮戦。伊勢路退却時、義弘に馬印を捨てさせた。,0,0,0
新野,親矩,54,67,43,50,50,121,100,264,-,にいの,ちかのり,1506年,1521年,1564年,59,-,所領拡大,奮闘,猛攻,全軍突撃,勲功,8,-,新野親矩,今川家臣。井伊直虎の伯父。井伊家当主・直親が謀殺された際、子・直政を保護した。井伊家の歴史上最大の危機を救ったと評される。遠州錯乱中に討死した。,0,0,0
鈴木,重時,58,70,21,34,15,128,49,198,-,すずき,しげとき,1528年,1543年,1569年,42,-,所領拡大,突撃,速攻,全軍突撃,勲功,7,-,鈴木重時,今川家臣。井伊谷三人衆の１人。桶狭間の戦いの後、家康が独立すると娘婿・菅沼忠久の誘いを受けて徳川家に仕えた。遠江攻め中に反攻を受け、討死した。,0,0,0
朝倉,景高,42,63,28,44,36,105,80,213,朝倉貞景,あさくら,かげたか,1495年,1510年,1543年,49,-,所領拡大,死兵,復帰,全軍突撃,実利,10,-,朝倉景高,朝倉家臣。貞景の次男。兄・孝景と対立して郡司を罷免される。本願寺家と結んで打倒孝景を掲げるが実現できず、西国へ逃れた。風流人であったという。,1,0,0
浅利,定頼,49,60,45,22,33,109,55,209,浅利朝頼,あさり,さだより,1506年,1521年,1575年,70,-,所領拡大,一蓮托生,闇討,全軍突撃,勲功,10,-,浅利定頼,浅利家臣。則頼の弟。花岡城主。則頼・則祐・勝頼に仕え北の守りを任された。勝頼が安東家から独立を図った際、安東愛季と山田合戦で戦い、敗死した。,1,0,0
二宮,惟宗,33,57,22,40,31,90,71,183,-,にのみや,これむね,1515年,1530年,1575年,61,-,所領拡大,突撃,速攻,全軍突撃,勲功,7,-,二宮惟宗,一条家臣。二ノ宮城主。房資の子。四万十川の戦いで長宗我部家に寝返った小島出雲守らに居城を攻められて落城。川原谷に逃れた後、自刃したという。,0,0,0
浜田,広綱,57,70,46,33,39,127,72,245,-,はまだ,ひろつな,1523年,1538年,1592年,70,-,所領拡大,突撃,速攻,全軍突撃,勲功,14,-,浜田広綱,葛西家臣。東館城主。主家に背いて周辺豪族と争い勢力を拡大したが、劣勢に追い込まれ降伏した。この浜田兵乱は、主家・葛西家の弱体化を招いた。,0,0,0
寺崎,良次,54,61,20,30,25,115,55,190,-,てらさき,よしつぐ,1527年,1542年,1582年,56,-,所領拡大,突撃,速攻,全軍突撃,勲功,8,-,寺崎良次,葛西家臣。峠城主。金沢良通の子。寺崎時胤の養子。実家が謀叛を起こした際、良次は葛西軍に従った。後に河崎合戦で戦死した。,0,0,0
荻野,秋清,42,68,34,40,37,110,77,221,-,おぎの,あききよ,1506年,1521年,1554年,49,-,領地保全,突撃,速攻,全軍突撃,実利,9,-,荻野秋清,丹波の豪族。赤井直正の外叔父。内藤国貞が攻めてきた際、これを撃破。しかしその後、配下を見殺しにして信望を失い直正に謀殺されて、黒井城を奪われた。,0,0,0
宇野,祐清,53,74,39,50,44,127,94,260,宇野政頼,うの,すけきよ,1541年,1556年,1580年,40,-,領地保全,突撃,速攻,全軍突撃,家名,7,-,宇野祐清,赤松家臣。長水城主。政頼の子。宇野家は赤松家のもとで守護代を務めた。のち毛利家に属して織田家に対抗したが、羽柴秀吉の中国侵攻軍に敗れ、自害した。,1,0,0
弥,助,43,91,35,8,21,134,29,198,-,や,すけ,1555年,1581年,1583年,29,-,天下統一,死兵,斥候,全軍突撃,実利,10,-,弥助,モザンビーク出身。宣教師ヴァリニャーノに従って来日。信長に気に入られ、家臣となる。本能寺の変では、信忠と共に奮戦。「十人力の剛力」と評された。,0,0,0
柳生,兵庫助,42,84,43,45,44,126,89,258,-,やぎゅう,ひょうごのすけ,1579年,1594年,1650年,72,-,天下統一,奥義一閃,野襲,全軍突撃,芸道,4,-,柳生兵庫助,祖父・宗厳より一国一人の印可を受け、柳生新陰流の継承者となった。加藤清正に仕えたが、人を斬って浪人する。放浪後、尾張徳川家の剣法指南役になる。,0,0,0
柳生,十兵衛,62,87,44,15,29,149,44,237,柳生宗矩,やぎゅう,じゅうべえ,1607年,1622年,1650年,44,-,天下統一,奥義一閃,野襲,全軍突撃,芸道,4,-,柳生十兵衛,徳川家臣。宗矩の子。名は三厳。幼少時の事故で片目を失明。徳川家光の剣術指南役になるが、勘気を被り、出仕停止。以後諸国を放浪し修行に専念した。,1,0,0
督,姫,64,59,45,45,70,123,115,283,松平元康,とく,ひめ,1565年,1565年,1615年,51,-,家名存続,激励,治癒,囮挑発,勲功,2,-,督姫,徳川家康の次女。北条氏直に嫁ぐ。北条家の滅亡後は池田輝政の妻となった。輝政の先妻の子・利隆を毒入りの饅頭で殺害しようとしたという逸話が残る。,1,0,0
